video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=usagsNlc0o8&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@midlifebritabroad,Midlife Brit Abroad,"Hoi An, Vietnam – I Couldn’t Believe This Place 🇻🇳✨",3.1K,3 months,"I spent a full day exploring Hoi An, Vietnam, and it's easy to see why so many travellers fall in love with this town From a ...",2026-01-21 22:43:46.976046
/watch?v=gWfdc7JEWR0&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@thestaronline,The Star,Vietnam's ancient town Hoi An works to restore tourism after devastating floods,27K,2 months,Residents of Vietnam's UNESCO-listed ancient town of Hoi An began cleaning up on Saturday (Nov 1) as floodwaters receded ...,2026-01-21 22:43:46.977344
/watch?v=djiehBKhpbc&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@TripMoitoYT,Trip Moito,"13 Best Places To Visit In Hoi An, Vietnam",2K,6 months,"Think you've seen all of Hoi An by snapping a photo at the Japanese Bridge and buying a lantern? Think again. In this video, we ...",2026-01-21 22:43:46.978637
/watch?v=YZsy_fkWhwc&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@barrettish,Barrett Ishida,"Hoi An, Vietnam - Local Foods & Experiences",4.8K,4 months,"Traveling to Hoi An for the first time I explored this city in central Vietnam, and tried some local cuisine and street foods at ...",2026-01-21 22:43:46.980385
/watch?v=eVojMZKgDeY&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@ridewithgabi,Ride with Gabi,HOI AN 🇻🇳 5 reasons why is quickly becoming my favorite place in South East Asia | Vietnam vlog,123K,2 years,I am back in Hoi An and in this video I am going to share with you the 5 main reasons why this little Vietnamese city is becoming ...,2026-01-21 22:43:46.982052
/watch?v=RWY8Y3NDKR8&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@AandJ-TravelstheWorld,A&J Travels the World,"How to Spend 2 Perfect Days in HOI AN, Vietnam 🇻🇳",8.2K,8 months,"How to Spend 2 Incredible Days in Hoi An, Vietnam | The Ultimate Travel Guide Thinking of visiting Hoi An, Vietnam? I spent 2 ...",2026-01-21 22:43:46.983959
/watch?v=LYCKxraIZ1Q&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@ragerxrager,RAGER X RAGER,A HIDDEN GEM IN VIETNAM: HOI AN ANCIENT OLD TOWN 🇻🇳,22K,5 months,"Welcome to Hoi An, Vietnam! This is a special travel vlog where I take you to one of Southeast Asia's most beautifully preserved ...",2026-01-21 22:43:46.985656
/watch?v=VcCnrqrDJPM&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@JordanandEmily,Jordan and Emily,"you NEED to visit Hoi An, Vietnam 🇻🇳",25K,1 year,Hoi An has called us back again - We just couldn't miss the gorgeous city as we crossed from South to North. Because we've ...,2026-01-21 22:43:46.987766
/watch?v=s2eutcZzsgM&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@thecenzons,The Cenzons,Hidden gems and underrated places in Hoi An Vietnam | Travel Guide AUG 2025,12K,4 months,"Thank you for watching Hoi An Vietnam second episode! See you on Da Nang episode! For more Vietnam travel tips, please ...",2026-01-21 22:43:46.988915
/watch?v=vZlzrkbHRcc&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@docSammy.travels,Doc Sammy ,HOI AN VIETNAM 🇻🇳 BEST THING TO DO + COMPLETE 2 DAYS ITINERARY & GUIDE,7.4K,11 months,Here's a complete 2 DAYS ITINERARY GUIDE for HOI AN VIETNAM DAY 1 - Com Linh - Hoi An Market - Old House of Tanky - Hoi ...,2026-01-21 22:43:46.989998
/watch?v=fuIkctEafps&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/channel/UC5WrayTqmGntbnsp6ZPzFbA,Powell Lumor,Hoi An Vietnam Is Back but still flooded! 🌞 After the Rain | 4K Virtual Walking Tour December 2025,2.1K,1 month,"In this 4K virtual walking tour (recorded on December 4, 2025), I explore the lively streets of Hoi An Old Town. The bridge is ...",2026-01-21 22:43:46.991506
/watch?v=3PSFVYso2nU&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@CrosbyGraceTravels,Crosby Grace Travels,"My life in HOI AN, VIETNAM in 2025 🇻🇳 (should I move here?)",40K,8 months,I spent 3 weeks in the beautiful city of Hoi An and FELL IN LOVE with it! Check out Airalo's eSIMs here: ...,2026-01-21 22:43:46.993204
/shorts/vOmytDx_bik,/@marshallandaimee,Marshall and Aimee,"The Reality of Hoi An, Vietnam! 😍😂 #hộian #vietnam #travelshorts",259K,3 years,Hoi An is beautiful and...chaotic. But mostly beautiful! This is one of our favorite places in Vietnam. @marshallandaimee ...,2026-01-21 22:43:46.994385
/watch?v=zYV9-kdzYuk&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@TwoCurlyHeadsWandering,Ana & Eduard | Two Curly Heads Wandering ,"Hoi An VIETNAM | Cheap Eats, People & Magical Lantern Nights | 🇻🇳",2.8K,5 months,"Join us as we explore the ancient town of Hội An, Vietnam – a UNESCO World Heritage Site packed with colourful lanterns, street ...",2026-01-21 22:43:46.996109
/watch?v=hdj2Ce4-4IA&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@GIRLINPARADISE,GIRL IN PARADISE,🇻🇳🌴🥥 SKIP DA NANG! 🤯 Why HOI AN Beach Is 10x Better Than DA NANG! Hoi An Beach Will Blow You Away!,97K,6 months,HOI AN vs DA NANG BEACH 🏝️ Which One Wins in 2025? The Internet LIED About Da Nang... Hoi An Beach Is the REAL ...,2026-01-21 22:43:46.998019
/watch?v=ljJCK_ZSrfg&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@lydiaandwehan,Lydia and Wehan,3 DAYS Exploring HOI AN 🇻🇳 (Vietnam),1.9K,5 months,This week we cycle to Hoi An and spend 3 days exploring. We hope you enjoy watching! Where We Stayed in Vietnam: ...,2026-01-21 22:43:57.435956
/watch?v=cfsZua08odM&t=4s&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@KenAndMina,Ken & Mina Travel,TOP 17 Things To Do In Hoi An 🇻🇳 Travel Guide,8.9K,2 years,"Known for its well-preserved Ancient Town, Hoi An Vietnam offers a glimpse into the past with its narrow streets, traditional ...",2026-01-21 22:43:57.438457
/watch?v=dM5IS_hC078&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@LADmob,LADmob,🇻🇳 UNSEEN Night Walk of Hoi An | 4K HDR Vietnam Walking Tour in Old Town,12K,5 months,"This walking tour takes you through the magical streets of Hoi An, Vietnam at night, a side few ever get to see. Shot in 4K HDR, ...",2026-01-21 22:43:57.439764
/watch?v=SwKgzgyeUp8&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@HerHappyFace,HerHappyFace,"Da Nang and Hoi An VLOG (Vietnam) | Marble Mountains, Birthday in Ba Na Hills, Stuck Inside a CAVE 💀",16K,2 months,"Welcome to my channel! We spent 2 days in Da Nang and visited quite a few places during our time here! Flights, Visa, Transfers ...",2026-01-21 22:43:57.442149
